tx_id,card_id,device_id,merchant_id,amount,timestamp,merchant_category,is_high_risk_merchant,location_distance_km,label
tx_52,card_262,dev_1384,m_21,165.62,2024-01-01T03:33:02,food,0,6.75,0
tx_53,card_2410,dev_902,m_7,155.17,2024-01-03T02:21:36,electronics,0,0.17,0
tx_54,card_241,dev_937,m_69,17.9,2024-01-02T01:53:25,grocery,0,8.41,0
tx_55,card_3521,dev_1353,m_72,45.26,2024-01-01T06:38:42,food,0,24.61,0
tx_56,card_1140,dev_2740,m_497,5.86,2024-01-03T06:36:10,food,0,8.9,0
tx_57,card_2208,dev_541,m_740,24.84,2024-01-01T10:18:34,health,0,16.73,0
tx_58,card_995,dev_3213,m_484,77.67,2024-01-03T06:34:42,fashion,0,8.76,0
tx_59,card_779,dev_386,m_99,61.64,2024-01-01T02:06:33,fashion,0,10.2,0
tx_60,card_1451,dev_1734,m_420,137.47499189817992,2024-01-03T06:55:03,health,1,9.4,1
tx_61,card_3538,dev_2986,m_55,1.0,2024-01-01T04:12:27,electronics,1,5.72,0
tx_62,card_2982,dev_1389,m_111,47.74,2024-01-02T04:15:20,food,0,12.87,0
tx_63,card_784,dev_779,m_549,74.73,2024-01-01T06:29:59,health,0,14.85,0
tx_64,card_574,dev_1728,m_187,23.62,2024-01-02T08:56:11,entertainment,0,19.45,0
tx_65,card_1894,dev_1023,m_77,64.31,2024-01-01T20:09:39,health,0,11.19,0
tx_66,card_3309,dev_2254,m_100,5.9,2024-01-01T11:00:07,grocery,0,8.34,0
tx_67,card_2671,dev_2214,m_15,216.74,2024-01-01T11:59:07,electronics,0,7.24,0
tx_68,card_3476,dev_968,m_170,133.56,2024-01-01T23:56:09,fashion,0,5.2,0
tx_69,card_1989,dev_1971,m_218,51.61,2024-01-01T16:16:44,fashion,0,26.8,0
tx_70,card_3696,dev_240,m_168,13.03,2024-01-02T06:45:44,fashion,0,11.06,0
tx_71,card_8,dev_1599,m_271,169.26,2024-01-04T01:51:41,health,0,12.24,0
tx_72,card_1168,dev_1732,m_713,147.81,2024-01-01T11:05:41,health,0,12.1,0
tx_73,card_634,dev_777,m_303,198.82,2024-01-02T22:01:02,food,0,3.91,0
tx_74,card_3967,dev_239,m_593,20.93,2024-01-01T11:40:15,grocery,0,1.7,0
tx_75,card_3063,dev_1284,m_58,11.14,2024-01-01T19:31:46,grocery,0,17.85,0
tx_76,card_2392,dev_1952,m_514,165.08,2024-01-02T04:34:47,travel,1,8.26,0
tx_77,card_2080,dev_328,m_190,57.27,2024-01-05T14:39:13,electronics,0,7.31,0
tx_78,card_2765,dev_963,m_413,9.06,2024-01-01T17:31:54,electronics,0,10.37,0
tx_79,card_2333,dev_1008,m_592,71.64,2024-01-02T05:05:41,grocery,0,13.41,0
tx_80,card_2536,dev_335,m_429,26.73,2024-01-01T08:20:29,utilities,0,12.73,0
tx_81,card_3828,dev_1068,m_209,121.08,2024-01-03T10:40:14,utilities,0,12.71,0
tx_82,card_977,dev_1087,m_405,42.97,2024-01-01T16:42:30,travel,0,13.56,0
tx_83,card_1228,dev_1872,m_323,72.63,2024-01-02T14:07:36,electronics,1,22.03,0
tx_84,card_2544,dev_2306,m_102,132.44,2024-01-01T09:53:58,electronics,0,6.59,0
tx_85,card_2072,dev_1086,m_135,51.8,2024-01-01T00:52:42,utilities,0,1.45,0
tx_86,card_3608,dev_281,m_250,37.6,2024-01-01T18:46:30,utilities,0,15.29,0
tx_87,card_1167,dev_646,m_448,6.421969659001618,2024-01-01T00:54:48,entertainment,1,19.19,1
tx_88,card_2505,dev_3305,m_669,103.76,2024-01-01T10:43:04,grocery,0,5.96,0
tx_89,card_2735,dev_3346,m_567,88.18,2024-01-01T05:50:05,entertainment,0,11.17,0
tx_90,card_3816,dev_2717,m_106,58.51,2024-01-01T02:08:27,travel,0,5.68,0
tx_91,card_3644,dev_438,m_760,327.5384017269641,2024-01-02T00:20:56,travel,1,4.77,1
tx_92,card_2477,dev_862,m_734,77.7,2024-01-04T17:21:55,utilities,0,25.38,0
tx_93,card_833,dev_2815,m_649,95.14,2024-01-01T07:34:49,entertainment,0,7.8,0
tx_94,card_2070,dev_2001,m_257,34.68,2024-01-01T01:57:39,grocery,0,12.57,0
tx_95,card_378,dev_2598,m_433,31.55,2024-01-01T04:34:02,entertainment,0,17.99,0
tx_96,card_180,dev_14,m_341,10.21,2024-01-01T06:54:43,travel,0,31.48,0
tx_97,card_1072,dev_661,m_759,64.76,2024-01-01T07:52:54,health,0,11.07,0
tx_98,card_2259,dev_2890,m_437,185.89,2024-01-02T08:08:11,grocery,0,36.83,0
tx_99,card_458,dev_308,m_707,32.64,2024-01-01T06:49:54,travel,0,20.49,0
tx_100,card_3418,dev_1512,m_596,26.4,2024-01-02T10:02:10,travel,0,11.66,0
tx_101,card_171,dev_1262,m_373,38.57,2024-01-01T02:28:15,grocery,0,16.62,0
tx_102,card_3681,dev_1465,m_215,40.59,2024-01-01T15:23:41,food,0,1.21,0
tx_103,card_2731,dev_421,m_362,30.5,2024-01-01T22:57:40,fashion,0,13.72,0
tx_104,card_3988,dev_2542,m_767,60.49,2024-01-01T01:06:45,travel,0,26.62,0
tx_105,card_969,dev_665,m_181,41.97,2024-01-02T22:35:32,fashion,0,16.54,0
tx_106,card_101,dev_734,m_754,64.5,2024-01-01T04:16:06,utilities,0,7.99,0
tx_107,card_3204,dev_1686,m_685,1.61,2024-01-01T21:09:08,food,0,4.0,0
tx_108,card_1092,dev_652,m_718,169.04,2024-01-01T20:33:46,electronics,0,28.79,0
tx_109,card_158,dev_1927,m_227,36.78,2024-01-01T18:55:53,food,0,13.57,0
tx_110,card_3344,dev_1885,m_358,170.29,2024-01-01T11:42:36,entertainment,0,9.21,0
tx_111,card_3360,dev_3257,m_233,4.43,2024-01-01T09:13:11,food,0,4.34,0
tx_112,card_96,dev_2703,m_197,111.81,2024-01-01T00:33:54,fashion,0,3.84,0
tx_113,card_1344,dev_1141,m_71,7.55,2024-01-02T04:38:08,entertainment,0,17.74,0
tx_114,card_1438,dev_2627,m_521,59.48,2024-01-03T02:23:09,fashion,0,17.19,0
tx_115,card_2783,dev_3455,m_549,19.88,2024-01-01T04:41:16,utilities,0,14.44,0
tx_116,card_3847,dev_113,m_118,83.33,2024-01-02T15:27:39,entertainment,0,4.69,0
tx_117,card_731,dev_2378,m_271,27.91,2024-01-02T11:57:03,grocery,0,6.76,0
tx_118,card_444,dev_2443,m_444,25.0,2024-01-03T16:04:59,utilities,0,1.73,0
tx_119,card_2984,dev_3221,m_321,83.39,2024-01-02T09:42:40,fashion,0,21.48,0
tx_120,card_2483,dev_2094,m_118,6.53,2024-01-03T07:52:57,fashion,0,24.58,0
tx_121,card_3684,dev_2361,m_194,23.14,2024-01-03T06:12:39,entertainment,0,5.32,0
tx_122,card_181,dev_2903,m_446,29.58,2024-01-01T00:15:41,grocery,0,9.86,0
tx_123,card_2129,dev_3303,m_551,180.48,2024-01-01T20:26:52,food,0,3.05,0
tx_124,card_1491,dev_1766,m_71,59.95,2024-01-01T14:16:49,utilities,0,10.09,0
tx_125,card_2552,dev_1285,m_679,66.98,2024-01-02T09:30:00,electronics,0,13.21,0
tx_126,card_1230,dev_2077,m_316,94.09,2024-01-02T13:24:43,fashion,0,4.82,0
tx_127,card_1336,dev_1648,m_713,3.56,2024-01-01T19:08:20,entertainment,0,8.46,0
tx_128,card_2270,dev_521,m_196,34.95,2024-01-03T04:28:43,fashion,0,7.38,0
tx_129,card_2723,dev_1552,m_693,9.26,2024-01-02T10:24:08,travel,0,0.18,0
tx_130,card_1232,dev_1663,m_561,57.77,2024-01-01T02:33:30,grocery,0,8.67,0
tx_131,card_1244,dev_1175,m_215,4.53,2024-01-02T17:24:16,fashion,0,2.6,0
tx_132,card_3218,dev_2375,m_621,73.5,2024-01-01T02:02:10,utilities,0,16.72,0
tx_133,card_1904,dev_1809,m_452,100.53,2024-01-03T22:36:43,food,0,16.11,0
tx_134,card_2093,dev_1938,m_753,256.13,2024-01-02T09:35:51,travel,0,5.78,0
tx_135,card_1162,dev_2111,m_679,90.07,2024-01-01T19:36:59,utilities,0,1.8,0
tx_136,card_382,dev_3352,m_769,33.12,2024-01-03T08:50:15,food,0,4.71,0
tx_137,card_2755,dev_1271,m_230,1.0,2024-01-01T15:10:35,food,0,10.04,0
tx_138,card_603,dev_100,m_47,3.48,2024-01-01T03:02:08,food,0,9.84,0
tx_139,card_1946,dev_2503,m_786,82.24,2024-01-01T21:00:47,electronics,0,7.41,0
tx_140,card_3629,dev_2579,m_589,196.48,2024-01-01T11:16:30,food,0,15.35,0
tx_141,card_2942,dev_2852,m_393,15.18,2024-01-04T07:16:07,health,0,1.02,0
tx_142,card_1636,dev_999,m_151,1.0,2024-01-04T12:03:38,grocery,0,8.36,0
tx_143,card_3656,dev_3075,m_788,4.6,2024-01-01T19:22:14,electronics,0,5.19,0
tx_144,card_896,dev_720,m_712,209.01,2024-01-01T17:46:14,health,0,26.77,0
tx_145,card_205,dev_2283,m_255,36.37,2024-01-01T23:42:15,electronics,0,19.39,0
tx_146,card_3282,dev_1903,m_683,52.67,2024-01-03T07:32:29,utilities,0,37.85,0
tx_147,card_3891,dev_3093,m_453,19.49,2024-01-01T05:00:06,fashion,0,7.12,0
tx_148,card_3402,dev_2244,m_456,37.38,2024-01-01T10:27:46,travel,0,6.39,0
tx_149,card_1944,dev_1843,m_265,219.9,2024-01-05T06:48:45,food,0,7.26,0
tx_150,card_3440,dev_2611,m_283,71.87,2024-01-01T18:26:01,health,0,19.26,0
tx_151,card_2567,dev_979,m_281,69.26,2024-01-01T04:15:33,health,0,3.65,0
tx_152,card_317,dev_2922,m_292,145.1,2024-01-02T17:29:45,food,0,14.8,0
tx_153,card_1112,dev_1375,m_327,161.94,2024-01-03T00:14:57,electronics,0,32.47,0
tx_154,card_947,dev_1568,m_710,2.78,2024-01-01T00:38:28,travel,0,22.69,0
tx_155,card_263,dev_1699,m_417,261.86,2024-01-01T03:54:44,utilities,0,2.04,0
tx_156,card_2222,dev_1908,m_425,54.1,2024-01-01T11:30:26,grocery,0,3.28,0
tx_157,card_847,dev_3411,m_430,32.15,2024-01-01T07:39:55,fashion,0,23.57,0
tx_158,card_3706,dev_3153,m_598,3.48,2024-01-03T00:00:36,grocery,0,5.08,0
tx_159,card_3509,dev_3135,m_589,87.92,2024-01-03T21:30:29,fashion,0,5.7,0
tx_160,card_1953,dev_24,m_360,113.69,2024-01-01T06:49:10,entertainment,0,11.01,0
tx_161,card_3086,dev_1597,m_429,184.81,2024-01-01T22:21:51,food,0,2.86,0
tx_162,card_1999,dev_898,m_279,15.58,2024-01-02T02:43:54,fashion,0,18.01,0
tx_163,card_1989,dev_118,m_398,7.23,2024-01-02T02:43:21,utilities,0,24.17,0
tx_164,card_2739,dev_2781,m_414,44.08,2024-01-02T11:30:55,travel,0,22.69,0
tx_165,card_3766,dev_522,m_637,48.17,2024-01-01T19:45:17,grocery,0,6.01,0
tx_166,card_3714,dev_1613,m_606,125.57,2024-01-01T12:23:58,grocery,0,14.68,0
tx_167,card_343,dev_2632,m_438,73.06,2024-01-01T05:44:51,travel,0,25.53,0
tx_168,card_744,dev_205,m_266,8.8,2024-01-01T00:21:05,fashion,0,20.88,0
tx_169,card_1340,dev_866,m_465,29.88,2024-01-01T13:48:27,utilities,0,21.38,0
tx_170,card_1382,dev_3117,m_388,140.7,2024-01-01T10:16:28,entertainment,0,27.54,0
tx_171,card_3080,dev_3407,m_431,30.3,2024-01-01T23:21:15,entertainment,0,6.11,0
tx_172,card_3419,dev_335,m_481,118.99,2024-01-03T23:40:06,grocery,0,20.55,0
tx_173,card_3068,dev_2209,m_53,36.88,2024-01-04T21:55:39,utilities,0,4.17,0
tx_174,card_918,dev_2662,m_70,40.71,2024-01-01T09:34:00,grocery,0,14.57,0
tx_175,card_3089,dev_127,m_253,4.73,2024-01-01T03:18:41,food,0,15.05,0
tx_176,card_3437,dev_83,m_636,8.22,2024-01-01T03:57:15,travel,0,10.5,0
tx_177,card_1939,dev_2742,m_117,12.04,2024-01-01T10:10:45,food,0,9.1,0
tx_178,card_1904,dev_2865,m_262,136.26,2024-01-01T15:25:01,utilities,0,9.79,0
tx_179,card_687,dev_2481,m_621,12.81,2024-01-01T01:00:05,electronics,0,12.56,0
tx_180,card_670,dev_1274,m_110,11.1,2024-01-01T07:50:13,grocery,0,3.39,0
tx_181,card_3804,dev_1277,m_589,13.87,2024-01-01T10:52:17,fashion,0,10.53,0
tx_182,card_1624,dev_2928,m_203,42.0,2024-01-02T04:08:20,electronics,0,5.5,0
tx_183,card_3402,dev_2569,m_248,124.09,2024-01-03T12:52:50,electronics,0,8.21,0
tx_184,card_1235,dev_3482,m_700,3.78,2024-01-01T07:46:48,electronics,0,14.21,0
tx_185,card_2318,dev_3205,m_42,12.24,2024-01-01T05:38:15,utilities,0,16.36,0
tx_186,card_2182,dev_1754,m_677,27.77,2024-01-01T15:54:14,utilities,0,17.73,0
tx_187,card_282,dev_2072,m_663,37.25,2024-01-02T09:01:46,utilities,0,25.5,0
tx_188,card_51,dev_3479,m_430,2.24,2024-01-01T06:58:56,health,0,13.65,0
tx_189,card_432,dev_1775,m_370,43.01,2024-01-01T18:13:43,health,0,9.67,0
tx_190,card_2897,dev_626,m_445,6.8,2024-01-01T14:14:07,travel,0,19.1,0
tx_191,card_3954,dev_2664,m_276,18.82,2024-01-01T11:22:04,health,0,8.05,0
tx_192,card_1904,dev_1784,m_748,1.22,2024-01-01T09:19:45,entertainment,0,4.7,0
tx_193,card_1320,dev_3488,m_251,7.65,2024-01-03T05:05:23,electronics,0,11.22,0
tx_194,card_1846,dev_998,m_768,54.02,2024-01-02T03:16:45,health,0,4.88,0
tx_195,card_2334,dev_2499,m_684,5.46,2024-01-01T18:29:10,fashion,0,27.2,0
tx_196,card_1377,dev_117,m_506,53.04,2024-01-02T08:50:13,utilities,0,10.56,0
tx_197,card_744,dev_1997,m_217,20.03,2024-01-01T10:49:36,utilities,0,2.14,0
tx_198,card_3267,dev_1058,m_348,62.29,2024-01-01T20:17:55,entertainment,0,15.98,0
tx_199,card_3605,dev_2441,m_718,6.44,2024-01-01T03:58:52,entertainment,0,13.44,0
tx_200,card_2276,dev_41,m_529,16.94,2024-01-01T04:12:14,food,0,3.89,0
tx_201,card_350,dev_988,m_737,11.42,2024-01-03T06:29:52,fashion,0,7.96,0
tx_202,card_2001,dev_2274,m_776,5.02,2024-01-01T17:50:30,food,0,9.06,0
tx_203,card_2828,dev_1950,m_661,7.13,2024-01-01T12:10:27,health,0,4.25,0
tx_204,card_1835,dev_3247,m_17,209.34,2024-01-03T00:08:59,electronics,0,3.65,0
tx_205,card_1656,dev_2833,m_249,11.24,2024-01-02T02:30:33,entertainment,0,16.33,0
tx_206,card_2719,dev_2382,m_377,159.02,2024-01-01T19:31:39,health,0,20.04,0
tx_207,card_2267,dev_2174,m_352,88.05,2024-01-01T04:58:11,fashion,0,13.15,0
tx_208,card_3055,dev_2254,m_338,23.47,2024-01-01T13:17:58,utilities,0,19.41,0
tx_209,card_2878,dev_1858,m_277,7.32,2024-01-01T22:38:12,entertainment,0,5.72,0
tx_210,card_1029,dev_944,m_123,20.43,2024-01-01T20:53:27,food,0,4.01,0
tx_211,card_1292,dev_489,m_760,45.63,2024-01-01T01:16:37,travel,0,13.17,0
tx_212,card_3025,dev_1983,m_283,24.62,2024-01-01T03:27:51,entertainment,0,20.09,0
tx_213,card_411,dev_3410,m_198,17.63,2024-01-02T03:27:33,entertainment,0,3.65,0
tx_214,card_931,dev_1478,m_183,85.68,2024-01-01T21:43:50,entertainment,0,32.07,0
tx_215,card_57,dev_2900,m_546,25.74,2024-01-03T15:39:40,travel,0,6.95,0
tx_216,card_3990,dev_223,m_566,106.54,2024-01-04T08:28:34,entertainment,0,10.57,0
tx_217,card_2856,dev_517,m_653,167.17,2024-01-01T04:47:56,health,0,4.06,0
tx_218,card_420,dev_50,m_587,4.13,2024-01-02T08:26:00,entertainment,0,22.52,0
tx_219,card_1922,dev_1960,m_451,9.03,2024-01-02T14:03:54,utilities,0,8.82,0
tx_220,card_755,dev_210,m_258,13.51,2024-01-01T04:17:20,health,0,10.92,0
tx_221,card_467,dev_3367,m_66,65.65,2024-01-01T17:46:08,fashion,0,1.31,0
tx_222,card_2014,dev_303,m_590,26.67,2024-01-03T02:19:58,grocery,0,23.02,0
tx_223,card_621,dev_611,m_576,34.7,2024-01-01T11:21:17,entertainment,0,1.12,0
tx_224,card_348,dev_1016,m_121,37.27,2024-01-01T08:36:26,fashion,0,5.28,0
tx_225,card_2483,dev_2441,m_633,15.85,2024-01-03T07:09:36,food,0,30.15,0
tx_226,card_3177,dev_2140,m_389,29.06,2024-01-01T18:49:21,health,0,8.53,0
tx_227,card_3721,dev_1813,m_304,7.46,2024-01-03T19:27:17,fashion,0,16.56,0
tx_228,card_1250,dev_2329,m_635,59.28,2024-01-01T09:47:16,grocery,0,10.08,0
tx_229,card_2497,dev_3031,m_101,58.07,2024-01-01T18:17:52,food,0,1.23,0
tx_230,card_2562,dev_864,m_270,134.6,2024-01-02T13:17:44,electronics,0,1.89,0
tx_231,card_711,dev_2260,m_76,17.14,2024-01-02T08:41:48,travel,1,7.75,0
tx_232,card_1845,dev_2823,m_608,2.05,2024-01-01T20:14:56,health,0,12.18,0
tx_233,card_1192,dev_133,m_237,25.12,2024-01-02T17:19:24,entertainment,0,10.0,0
tx_234,card_2895,dev_1158,m_719,7.03,2024-01-02T20:58:11,health,0,0.95,0
tx_235,card_291,dev_2815,m_239,95.76,2024-01-01T03:53:53,entertainment,0,9.68,0
tx_236,card_3226,dev_3240,m_640,15.62,2024-01-02T06:44:42,food,0,18.04,0
tx_237,card_1741,dev_470,m_557,71.04,2024-01-01T18:46:45,food,0,25.33,0
tx_238,card_2652,dev_610,m_272,17.41,2024-01-01T10:10:49,travel,1,21.68,0
tx_239,card_679,dev_3246,m_314,37.19,2024-01-03T22:37:39,entertainment,0,27.44,0
tx_240,card_1798,dev_509,m_479,9.99,2024-01-01T21:10:43,entertainment,0,41.69,0
tx_241,card_2866,dev_1648,m_278,1.1,2024-01-03T01:21:38,health,0,6.94,0
tx_242,card_1793,dev_329,m_612,161.4,2024-01-01T19:59:06,grocery,0,12.22,0
tx_243,card_3643,dev_1769,m_752,73.7,2024-01-01T03:58:20,utilities,0,8.36,0
tx_244,card_2472,dev_1025,m_26,51.52,2024-01-01T22:23:50,electronics,0,28.9,0
tx_245,card_2761,dev_3424,m_589,163.42,2024-01-03T14:20:56,grocery,0,2.67,0
tx_246,card_3132,dev_2753,m_275,217.87967792515784,2024-01-01T02:53:03,grocery,1,5.84,1
tx_247,card_3125,dev_3097,m_179,53.68,2024-01-01T12:13:11,health,0,21.41,0
tx_248,card_2125,dev_2668,m_452,3.38,2024-01-01T09:47:54,entertainment,0,10.18,0
tx_249,card_743,dev_2397,m_446,46.25,2024-01-03T12:34:27,health,0,19.82,0
tx_250,card_3969,dev_373,m_481,25.51,2024-01-01T10:13:35,utilities,0,0.04,0
tx_251,card_1672,dev_1365,m_328,15.26,2024-01-01T14:27:17,electronics,0,30.04,0
tx_252,card_1350,dev_1686,m_710,9.11,2024-01-01T04:39:26,health,0,35.45,0
tx_253,card_1180,dev_2713,m_410,147.8,2024-01-01T10:48:02,grocery,0,4.19,0
tx_254,card_1862,dev_360,m_322,52.13,2024-01-02T00:00:33,entertainment,0,0.97,0
tx_255,card_1324,dev_474,m_791,5.35,2024-01-06T18:26:02,fashion,0,11.6,0
tx_256,card_3542,dev_2107,m_1,41.85,2024-01-01T21:42:56,health,0,5.21,0
tx_257,card_1692,dev_222,m_192,14.14,2024-01-03T06:47:58,utilities,0,4.64,0
tx_258,card_2550,dev_3098,m_510,13.78,2024-01-01T05:04:39,health,0,4.51,0
tx_259,card_3112,dev_211,m_208,49.92,2024-01-01T01:37:52,entertainment,0,3.15,0
tx_260,card_2249,dev_536,m_294,89.64,2024-01-01T14:29:31,health,0,34.76,0
tx_261,card_3607,dev_2860,m_496,30.73,2024-01-01T19:41:02,electronics,1,21.37,0
tx_262,card_2580,dev_2493,m_245,10.12,2024-01-01T04:49:09,travel,0,16.11,0
tx_263,card_56,dev_2262,m_417,61.97,2024-01-01T12:36:42,electronics,0,6.67,0
tx_264,card_3446,dev_464,m_472,1.54,2024-01-01T04:04:29,electronics,0,19.04,0
tx_265,card_630,dev_2041,m_733,1.65,2024-01-01T06:01:25,entertainment,0,24.07,0
tx_266,card_2084,dev_2889,m_279,15.77,2024-01-02T02:44:45,fashion,0,2.87,0
tx_267,card_3419,dev_1976,m_483,63.46,2024-01-01T06:31:45,food,0,12.34,0
tx_268,card_1870,dev_2257,m_148,6.28,2024-01-01T06:41:12,fashion,0,15.66,0
tx_269,card_780,dev_2455,m_520,106.4,2024-01-01T12:08:50,travel,0,11.66,0
tx_270,card_1131,dev_3164,m_424,66.17,2024-01-01T05:30:19,utilities,0,13.9,0
tx_271,card_3826,dev_3226,m_519,1.0,2024-01-01T02:08:43,entertainment,0,0.36,0
tx_272,card_3360,dev_10,m_289,13.98,2024-01-01T00:38:43,entertainment,0,9.89,0
tx_273,card_3430,dev_2404,m_593,32.83,2024-01-03T05:33:52,health,0,13.77,0
tx_274,card_3544,dev_608,m_457,102.04,2024-01-01T10:02:18,health,0,5.57,0
tx_275,card_1413,dev_1361,m_565,478.4458747639315,2024-01-01T07:29:22,fashion,1,16.13,1
tx_276,card_1865,dev_1318,m_193,58.71,2024-01-01T12:38:21,food,0,26.23,0
tx_277,card_2342,dev_1568,m_239,20.93,2024-01-03T23:09:59,fashion,0,30.45,0
tx_278,card_178,dev_1303,m_762,86.54,2024-01-01T03:37:22,health,0,4.44,0
tx_279,card_2888,dev_3323,m_390,134.97,2024-01-02T14:36:32,fashion,0,21.55,0
tx_280,card_2718,dev_3245,m_667,33.23,2024-01-01T00:32:43,travel,0,9.62,0
tx_281,card_151,dev_517,m_514,60.22,2024-01-01T07:09:29,utilities,0,20.65,0
tx_282,card_3562,dev_411,m_450,9.0,2024-01-02T19:13:59,electronics,0,5.28,0
tx_283,card_1871,dev_62,m_739,11.3,2024-01-01T07:37:44,travel,0,10.21,0
tx_284,card_2681,dev_632,m_76,1.11,2024-01-03T10:57:55,health,0,7.94,0
tx_285,card_3201,dev_1085,m_346,19.22,2024-01-01T19:23:16,fashion,0,9.68,0
tx_286,card_2661,dev_328,m_336,63.23,2024-01-02T18:29:25,fashion,0,8.84,0
tx_287,card_3908,dev_1297,m_641,55.06,2024-01-02T02:14:58,health,0,19.74,0
tx_288,card_3573,dev_2216,m_36,11.57,2024-01-03T10:59:49,electronics,0,22.61,0
